user_id,heart_rate_BPM,blood_oxygen_level,step_count,sleep_duration_hr,activity_level,stress_level,activity_intensity,stress_sleep_ratio,health_score
45,88.7,97.6,239.3,5.2,Active,3,21225.91,0.5769,0.795400
46,48.7,99.9,1310.2,8.8,Active,10,63806.74,1.1364,0.729600
47,83.1,95.7,14749.9,7.1,Sedentary,1,1225716.69,0.1408,0.919050
48,0.0,98.4,15519.3,8.0,Active,5,0.00,0.6250,0.843600
49,65.1,100.0,511.9,5.4,Highly_Active,3,33324.69,0.5556,0.812500
50,76.2,97.4,7732.6,7.6,Active,9,589224.12,1.1842,0.704600
51,86.0,99.3,1516.5,7.8,Sedentary,2,130419.00,0.2564,0.929700
52,55.2,98.3,1223.4,7.4,Highly_Active,8,67531.68,1.0811,0.730700
53,49.0,97.8,9640.1,6.3,Highly_Active,6,472364.90,0.9524,0.747450
54,74.6,100.0,164.8,5.0,Active,7,12294.08,1.4000,0.677500
55,102.2,96.6,14808.4,4.0,Highly_Active,3,1513418.48,0.7500,0.746400
56,71.2,95.7,8777.1,5.4,Active,3,624929.52,0.5556,0.795300
57,0.0,99.7,931.1,6.2,Active,5,0.00,0.8065,0.781300
58,91.8,99.8,3761.6,7.4,Active,5,345314.88,0.6757,0.826700
59,71.4,100.0,11347.6,8.0,Active,2,810218.64,0.2500,0.940000
60,81.8,97.4,15444.3,5.5,Sedentary,6,1263343.74,1.0909,0.715850
61,48.5,99.6,3729.4,6.5,Active,7,180875.90,1.0769,0.732150
62,96.2,97.0,24830.8,8.2,Sedentary,10,2388722.96,1.2195,0.695500
63,65.4,99.0,4767.7,6.8,Sedentary,10,311807.58,1.4706,0.651000
64,68.5,97.9,1095.3,6.9,Active,9,75028.05,1.3043,0.680350
65,80.2,96.4,20460.8,8.1,Active,6,1640956.16,0.7407,0.809350
66,61.1,96.1,6923.7,5.6,Active,6,423038.07,1.0714,0.714400
67,89.0,98.9,7353.1,6.1,Highly_Active,2,654425.90,0.3279,0.864350
68,70.6,99.9,2019.8,6.5,Active,3,142597.88,0.4615,0.853350
69,54.1,96.5,9200.5,5.5,Sedentary,9,497747.05,1.6364,0.622250
70,47.5,93.1,42013.0,6.2,Sedentary,5,1995617.50,0.8065,0.754900
71,82.8,100.0,1274.4,8.8,Sedentary,10,105520.32,1.1364,0.730000
72,62.8,98.8,1332.4,6.1,Active,1,83674.72,0.1639,0.893950
73,53.1,100.0,1550.1,5.3,Highly_Active,9,82310.31,1.6981,0.628750
74,69.0,96.6,9152.6,6.2,Sedentary,3,631529.40,0.4839,0.828900
75,66.8,96.6,4641.4,4.6,Highly_Active,8,310045.52,1.7391,0.618900
76,0.0,99.2,3663.8,6.4,Highly_Active,3,0.00,0.4688,0.846800
77,76.5,99.3,10560.1,6.9,Active,3,807847.65,0.4348,0.865950
78,63.4,97.1,6957.1,5.3,Sedentary,2,441080.14,0.3774,0.827150
79,46.9,98.3,2226.5,6.4,Sedentary,10,104422.85,1.5625,0.633200
80,88.8,97.8,18249.1,5.2,Highly_Active,6,1620520.08,1.1538,0.706200
81,93.4,99.3,3214.1,6.8,Highly_Active,2,300196.94,0.2941,0.892200
82,74.9,95.7,9163.7,4.1,Active,9,686361.13,2.1951,0.566550
83,55.0,97.8,2773.7,3.4,Sedentary,2,152553.50,0.5882,0.758700
84,79.5,99.6,7442.3,4.2,Sedentary,6,591662.85,1.4286,0.675900
85,75.1,95.8,9164.8,6.6,Highly_Active,6,688276.48,0.9091,0.750700
86,53.9,100.0,963.2,5.7,Active,2,51916.48,0.3509,0.853750
87,79.8,100.0,8778.3,6.2,Active,5,700508.34,0.8065,0.782500
88,54.4,100.0,11358.4,7.4,Sedentary,9,617896.96,1.2162,0.707500
89,87.7,97.6,8662.6,6.4,Active,7,759710.02,1.0938,0.720400
90,67.9,97.5,18932.3,7.0,Sedentary,10,1285503.17,1.4286,0.652500
91,56.0,94.4,4697.2,4.5,Active,1,263043.20,0.2222,0.816350
92,0.0,99.3,26.2,6.4,Active,10,0.00,1.5625,0.637200
93,58.7,97.1,2177.0,5.3,Active,4,127789.90,0.7547,0.767150
94,107.3,97.3,5957.8,8.9,Highly_Active,9,639271.94,1.0112,0.752950
95,71.6,96.8,4586.0,6.0,Sedentary,9,328357.60,1.5000,0.642200
96,95.3,96.4,18314.8,9.8,Highly_Active,5,1745400.44,0.5102,0.903100
97,95.2,97.9,4027.2,7.5,Sedentary,10,383389.44,1.3333,0.672850
98,58.1,98.8,7084.6,7.6,Sedentary,2,411615.26,0.2632,0.920200
99,86.5,96.6,4456.6,6.9,Sedentary,3,385495.90,0.4348,0.855150
100,67.8,96.5,16607.3,6.7,Sedentary,1,1125974.94,0.1493,0.907250
101,82.9,97.3,2268.2,6.1,Highly_Active,5,188033.78,0.8197,0.767950
102,94.5,94.8,14974.0,7.0,Active,4,1415043.00,0.5714,0.821700
103,79.6,96.0,11831.0,3.6,Sedentary,6,941747.60,1.6667,0.639000
104,63.1,96.9,17655.6,5.9,Sedentary,4,1114068.36,0.6780,0.788850
105,67.6,100.0,4316.7,7.1,Sedentary,6,291808.92,0.8451,0.786250
106,48.3,98.5,6995.4,4.5,Active,7,337877.82,1.5556,0.652750
107,54.7,96.3,15745.2,5.6,Highly_Active,5,861262.44,0.8929,0.745200
108,91.0,98.9,10531.2,7.8,Active,9,958339.20,1.1538,0.718100
109,63.0,96.5,5381.9,7.0,Highly_Active,4,339059.70,0.5714,0.828500
110,73.6,100.0,709.3,9.9,Highly_Active,8,52204.48,0.8081,0.831250
111,82.7,97.4,703.9,4.3,Active,6,58212.53,1.3953,0.670850
112,80.5,100.0,3683.9,5.0,Sedentary,4,296553.95,0.8000,0.767500
113,67.8,98.3,1854.4,4.3,Active,9,125728.32,2.0930,0.584450
114,77.8,93.8,16501.0,6.3,Sedentary,1,1283777.80,0.1587,0.881450
115,51.4,98.1,2634.5,9.3,Highly_Active,7,135413.30,0.7527,0.831150
116,76.6,98.9,24311.0,8.8,Sedentary,6,1862222.60,0.6818,0.845600
117,91.0,98.4,9736.1,5.5,Highly_Active,5,885985.10,0.9091,0.749850
118,77.7,96.9,7609.5,8.5,Highly_Active,2,591258.15,0.2353,0.946350
119,108.0,97.9,12316.8,5.2,Sedentary,3,1330214.40,0.5769,0.796600
120,91.7,100.0,7173.6,5.8,Highly_Active,1,657819.12,0.1724,0.887500
121,68.2,94.9,581.1,5.7,Active,9,39631.02,1.5789,0.623350
122,68.9,98.4,1847.1,6.6,Active,8,127265.19,1.2121,0.701100
123,90.4,97.9,17367.3,8.9,Active,5,1570003.92,0.5618,0.875350
124,92.5,100.0,1557.8,7.0,Sedentary,9,144096.50,1.2857,0.692500
125,65.2,97.6,2205.5,10.4,Highly_Active,4,143798.60,0.3846,0.960400
126,57.5,92.3,7163.5,6.5,Sedentary,9,411901.25,1.3846,0.642950
127,86.4,97.3,2491.3,6.7,Sedentary,6,215248.32,0.8955,0.760450
128,89.2,96.8,474.8,6.9,Sedentary,9,42352.16,1.3043,0.675950
129,52.3,99.2,10726.4,0.0,Sedentary,3,560990.72,NULL,0.606800
130,77.6,93.0,20838.8,7.8,Active,7,1617090.88,0.8974,0.754500
131,72.3,93.3,5450.3,3.9,Sedentary,9,394056.69,2.3077,0.549450
132,75.2,96.3,2472.9,5.0,Active,1,185962.08,0.2000,0.842700
133,84.6,96.3,2204.6,5.4,Active,5,186509.16,0.9259,0.737700
134,40.0,97.6,5583.6,6.7,Active,9,223344.00,1.3433,0.671650
135,66.5,99.1,1016.4,10.2,Sedentary,9,67590.60,0.8824,0.808900
136,57.7,95.0,807.4,6.2,Sedentary,3,46586.98,0.4839,0.822500
137,73.5,98.6,4637.2,9.8,Highly_Active,5,340834.20,0.5102,0.911900
138,62.9,96.7,9961.8,8.0,Sedentary,8,626597.22,1.0000,0.746800
139,78.8,93.5,8324.5,6.9,Sedentary,5,655970.60,0.7246,0.782750
140,104.2,98.1,74.1,7.6,Highly_Active,2,7721.22,0.2632,0.917400
141,81.0,97.6,3880.5,7.8,Active,2,314320.50,0.2564,0.922900
142,67.0,98.7,14168.6,0.0,Highly_Active,1,949296.20,NULL,0.664800
143,82.0,98.1,4208.3,6.2,Sedentary,3,345080.60,0.4839,0.834900
144,71.6,97.2,1556.0,4.9,Active,7,111409.60,1.4286,0.662550
145,83.6,98.6,754.7,6.1,Active,9,63092.92,1.4754,0.653150
146,0.0,100.0,8686.1,7.6,Highly_Active,6,0.00,0.7895,0.805000
147,90.4,98.4,655.9,4.4,Highly_Active,8,59293.36,1.8182,0.618600
148,66.9,98.6,3151.3,6.1,Highly_Active,6,210821.97,0.9836,0.743150
149,79.9,99.4,2805.7,6.9,Highly_Active,6,224175.43,0.8696,0.776350
150,82.0,94.8,592.8,5.9,Active,9,48609.60,1.5254,0.630450
151,58.2,100.0,2933.5,6.8,Active,2,170729.70,0.2941,0.895000
152,53.7,99.9,4111.6,5.9,Highly_Active,8,220792.92,1.3559,0.680850
153,77.2,98.9,2186.1,7.0,Sedentary,5,168766.92,0.7143,0.808100
154,88.8,97.4,4591.9,6.9,Active,7,407760.72,1.0145,0.738350
155,118.4,98.1,3011.0,8.1,Sedentary,6,356502.40,0.7407,0.816150
156,65.5,97.2,938.0,7.0,Highly_Active,4,61439.00,0.5714,0.831300
157,69.1,98.6,20122.7,6.6,Highly_Active,9,1390478.57,1.3636,0.671900
158,76.7,94.3,674.4,7.1,Highly_Active,10,51726.48,1.4085,0.643450
159,110.0,98.9,5833.1,9.2,Sedentary,10,641641.00,1.0870,0.740600
160,69.1,97.1,986.1,6.1,Active,6,68139.51,0.9836,0.737150
161,63.0,97.0,7884.1,5.4,Highly_Active,3,496698.30,0.5556,0.800500
162,68.0,98.7,1411.0,5.2,Highly_Active,2,95948.00,0.3846,0.829800
163,106.4,99.0,5295.5,6.1,Highly_Active,8,563441.20,1.3115,0.684750
164,96.7,97.8,15380.9,7.0,Sedentary,5,1487333.03,0.7143,0.803700
165,74.8,96.6,6787.8,7.7,Highly_Active,9,507727.44,1.1688,0.705150
166,0.0,97.3,15041.0,5.7,Active,1,0.00,0.1754,0.872950
167,81.3,96.5,615.9,5.7,Sedentary,6,50072.67,1.0526,0.719750
168,95.6,98.2,8734.6,4.3,Sedentary,5,835027.76,1.1628,0.704050
169,80.2,99.9,2977.6,6.4,Active,1,238803.52,0.1563,0.909600
170,88.1,97.6,7174.6,8.4,Sedentary,5,632082.26,0.5952,0.855400
171,0.0,100.0,24183.5,9.5,Highly_Active,3,0.00,0.3158,0.966250
172,89.0,94.0,5986.7,5.3,Sedentary,4,532816.30,0.7547,0.754750
173,96.4,100.0,15073.4,5.6,Active,4,1453075.76,0.7143,0.790000
174,57.5,96.4,44.3,7.3,Highly_Active,1,2547.25,0.1370,0.929350
175,93.0,99.2,16312.7,8.1,Highly_Active,2,1517081.10,0.2469,0.940550
176,64.3,97.4,2360.2,10.0,Active,4,151760.86,0.4000,0.944600
177,79.4,96.7,25080.8,6.7,Highly_Active,8,1991415.52,1.1940,0.698050
178,82.3,99.7,12764.7,6.8,Active,7,1050534.81,1.0294,0.743800
179,86.1,99.0,8023.7,7.4,Active,5,690840.57,0.6757,0.823500
180,57.8,96.5,10505.4,8.6,Highly_Active,3,607212.12,0.3488,0.918500
181,82.3,99.4,24864.0,10.3,Sedentary,9,2046307.20,0.8738,0.813850
182,72.1,98.8,15272.3,8.7,Sedentary,6,1101132.83,0.6897,0.841450
183,40.9,99.5,10526.3,6.1,Active,10,430525.67,1.6393,0.626750
184,67.0,97.8,14927.8,9.2,Sedentary,5,1000162.60,0.5435,0.886200
185,54.2,98.9,4733.4,7.2,Active,7,256550.28,0.9722,0.755600
186,76.3,100.0,2966.5,6.9,Active,2,226343.95,0.2899,0.898750
187,79.4,98.6,1606.5,7.5,Sedentary,2,127556.10,0.2667,0.915650
188,69.3,97.6,57034.6,6.6,Sedentary,5,3952497.78,0.7576,0.787900
189,55.2,96.1,9754.2,7.3,Sedentary,10,538431.84,1.3699,0.658150
190,81.2,97.8,7924.6,5.3,Active,2,643477.52,0.3774,0.829950
191,68.1,97.3,3315.2,5.7,Sedentary,2,225765.12,0.3509,0.842950
192,88.3,100.0,49119.4,8.6,Highly_Active,8,4337243.02,0.9302,0.782500
193,96.4,97.8,3789.8,5.7,Sedentary,6,365336.72,1.0526,0.724950
194,48.7,99.0,1707.7,8.9,Sedentary,8,83164.99,0.8989,0.789750
195,62.0,95.0,720.1,8.5,Active,4,44646.20,0.4706,0.878750
196,93.4,93.6,7019.0,4.3,Active,5,655574.60,1.1628,0.685650
197,81.6,100.0,2090.5,8.7,Highly_Active,4,170584.80,0.4598,0.906250
198,66.0,99.3,78.6,2.8,Sedentary,4,5187.60,1.4286,0.682200
199,65.1,99.6,2721.3,6.9,Highly_Active,2,177156.63,0.2899,0.897150
200,63.1,97.0,3945.6,8.1,Active,1,248967.36,0.1235,0.961750
201,86.2,93.9,19416.1,5.5,Active,1,1673667.82,0.1818,0.851850
202,78.5,94.1,1789.3,9.1,Sedentary,6,140460.05,0.6593,0.837650
203,79.7,94.8,3541.7,5.5,Highly_Active,9,282273.49,1.6364,0.615450
204,80.6,99.2,13796.1,6.7,Active,9,1111965.66,1.3433,0.678050
205,72.3,92.6,158.5,9.0,Active,5,11459.55,0.5556,0.857900
206,74.2,98.3,19155.2,8.1,Active,10,1421315.84,1.2346,0.696950
207,76.4,95.2,8395.4,5.6,Sedentary,1,641408.56,0.1786,0.860800
208,96.1,99.1,3718.3,9.7,Sedentary,8,357328.63,0.8247,0.820150
209,64.3,96.6,15763.1,7.4,Sedentary,10,1013567.33,1.3514,0.663900
210,78.1,93.3,2480.6,6.9,Highly_Active,3,193734.86,0.4348,0.841950
211,69.4,97.4,11372.4,7.2,Sedentary,7,789244.56,0.9722,0.749600
212,81.3,99.2,6665.8,5.7,Highly_Active,8,541929.54,1.4035,0.670550
213,75.3,99.5,11220.2,7.0,Active,8,844881.06,1.1429,0.720500
214,100.2,99.0,3241.2,6.9,Highly_Active,4,324768.24,0.5797,0.834750
215,88.8,97.1,25587.2,6.2,Sedentary,9,2272143.36,1.4516,0.650900
216,62.5,99.0,8280.5,2.6,Highly_Active,3,517531.25,1.1538,0.703500
217,91.0,97.0,7782.7,5.9,Sedentary,4,708225.70,0.6780,0.789250
218,68.4,98.2,8985.4,6.5,Highly_Active,6,614601.36,0.9231,0.756550
219,0.0,98.0,1085.3,5.1,Sedentary,7,0.00,1.3725,0.673250
220,92.6,100.0,10916.7,6.9,Sedentary,8,1010886.42,1.1594,0.718750
221,79.7,99.0,5148.4,8.7,Highly_Active,10,410327.48,1.1494,0.722250
222,77.0,98.9,13333.2,7.8,Sedentary,7,1026656.40,0.8974,0.778100
223,104.4,97.8,1368.7,6.1,Sedentary,2,142892.28,0.3279,0.859950
224,74.4,99.3,2188.9,7.0,Highly_Active,9,162854.16,1.2857,0.689700
225,69.6,96.0,2007.0,8.9,Active,8,139687.20,0.8989,0.777750
226,71.1,96.9,344.3,7.3,Active,4,24479.73,0.5479,0.841350
227,72.8,98.2,2195.3,6.7,Active,3,159817.84,0.4478,0.854050
228,98.6,99.6,32.6,7.5,Active,7,3214.36,0.9333,0.769650
229,101.6,95.2,2185.9,8.2,Active,4,222087.44,0.4878,0.868300
230,72.9,100.0,6309.8,5.5,Highly_Active,2,459984.42,0.3636,0.846250
231,78.4,96.3,7440.6,5.7,Active,6,583343.04,1.0526,0.718950
232,91.4,96.7,686.5,6.5,Highly_Active,4,62746.10,0.6154,0.810550
233,55.5,99.5,26255.1,7.0,Active,9,1457158.05,1.2857,0.690500
234,92.8,96.5,5196.4,8.9,Highly_Active,5,482225.92,0.5618,0.869750
235,84.4,99.9,5775.5,4.8,Sedentary,3,487452.20,0.6250,0.789600
236,71.2,98.9,1102.1,7.8,Highly_Active,6,78469.52,0.7692,0.808100
237,71.8,96.3,281.2,4.9,Highly_Active,4,20190.16,0.8163,0.748950
238,40.1,97.7,19458.1,8.7,Sedentary,1,780269.81,0.1149,0.987050
239,82.3,96.0,1297.4,8.9,Active,7,106776.02,0.7865,0.807750
240,73.8,98.4,11236.2,7.9,Active,2,829231.56,0.2532,0.929850
241,99.2,96.4,3057.5,5.4,Active,5,303304.00,0.9259,0.738100
242,72.6,100.0,22560.1,0.0,Sedentary,10,1637863.26,NULL,0.400000
243,92.2,100.0,913.8,4.4,Sedentary,3,84252.36,0.6818,0.775000
244,79.5,98.1,563.4,7.1,Highly_Active,7,44790.30,0.9859,0.748650
245,95.1,95.7,4831.6,6.5,Active,8,459485.16,1.2308,0.686550
246,83.8,99.8,2580.6,8.6,Active,5,216254.28,0.5814,0.871700
247,63.5,98.2,28925.9,0.0,Highly_Active,4,1836794.65,NULL,0.572800
248,97.6,98.9,4270.0,5.6,Sedentary,7,416752.00,1.2500,0.695600
249,79.6,95.6,2808.7,6.7,Active,10,223572.52,1.4925,0.633650
250,56.5,96.5,10743.1,7.0,Sedentary,1,606985.15,0.1429,0.918500
251,68.3,99.6,2868.7,3.1,Sedentary,4,195932.21,1.2903,0.694650
252,69.7,98.2,8858.8,3.8,Active,5,617458.36,1.3158,0.685300
253,72.3,95.1,6801.6,6.4,Active,4,491755.68,0.6250,0.800400
254,0.0,100.0,12925.8,6.0,Sedentary,2,0.00,0.3333,0.865000
255,67.5,100.0,5141.1,8.4,Sedentary,10,347024.25,1.1905,0.715000
256,73.5,100.0,2078.4,7.1,Sedentary,9,152762.40,1.2676,0.696250
257,71.2,99.1,3072.8,4.6,Sedentary,9,218783.36,1.9565,0.598900
258,112.1,95.3,14.5,7.5,Highly_Active,7,1625.45,0.9333,0.752450
259,76.3,95.9,9202.6,5.7,Highly_Active,8,702158.38,1.4035,0.657350
260,57.3,95.6,2634.9,6.2,Highly_Active,4,150979.77,0.6452,0.794900
261,67.4,98.8,2256.8,7.4,Highly_Active,8,152108.32,1.0811,0.732700
262,80.3,98.8,8548.7,5.9,Sedentary,9,686460.61,1.5254,0.646450
263,78.4,100.0,2522.7,0.0,Sedentary,1,197779.68,NULL,0.670000
264,87.3,96.8,18148.3,3.9,Sedentary,3,1584346.59,0.7692,0.743450
265,84.4,97.8,5514.3,3.2,Sedentary,2,465406.92,0.6250,0.751200
266,82.2,99.4,15404.8,0.0,Active,7,1266274.56,NULL,0.487600
267,80.6,95.1,9385.3,5.9,Highly_Active,5,756455.18,0.8475,0.751650
268,73.6,99.8,3213.6,5.8,Sedentary,8,236520.96,1.3793,0.676700
269,81.9,100.0,605.0,5.0,Sedentary,9,49549.50,1.8000,0.617500
270,96.1,100.0,361.7,5.4,Active,4,34759.37,0.7407,0.782500
271,56.1,99.4,5392.9,7.4,Sedentary,2,302541.69,0.2703,0.915100
272,75.5,100.0,2121.9,4.9,Sedentary,10,160203.45,2.0408,0.583750
273,67.5,98.7,7763.5,5.1,Active,4,524036.25,0.7843,0.766050
274,45.0,97.0,11917.3,5.8,Active,5,536278.50,0.8621,0.755500
275,82.9,97.5,13746.5,5.3,Highly_Active,8,1139584.85,1.5094,0.648750
276,71.3,98.4,4156.7,6.7,Highly_Active,2,296372.71,0.2985,0.884850
277,76.9,97.3,164.7,8.2,Active,2,12665.43,0.2439,0.936700
278,87.2,98.6,5310.0,8.9,Sedentary,7,463032.00,0.7865,0.818150
279,95.5,95.5,84.6,5.4,Active,8,8079.30,1.4815,0.644500
280,82.6,95.2,12925.2,7.5,Highly_Active,10,1067621.52,1.3333,0.662050
281,61.5,95.2,13702.9,7.3,Highly_Active,6,842728.35,0.8219,0.774550
282,93.4,100.0,1682.4,6.6,Sedentary,5,157136.16,0.7576,0.797500
283,90.2,97.9,5817.0,9.5,Sedentary,8,524693.40,0.8421,0.807850
284,75.6,97.1,7388.0,5.5,Active,7,558532.80,1.2727,0.684650
285,45.9,95.5,8542.2,9.2,Active,5,392086.98,0.5435,0.877000
286,62.4,100.0,596.6,8.0,Highly_Active,6,37227.84,0.7500,0.820000
287,83.2,93.6,1968.2,9.9,Sedentary,2,163754.24,0.2020,0.985650
288,74.8,94.6,7985.5,4.8,Sedentary,4,597315.40,0.8333,0.738400
289,58.2,96.8,8362.6,6.1,Highly_Active,1,486703.32,0.1639,0.885950
290,44.5,98.9,24266.2,5.8,Highly_Active,8,1079845.90,1.3793,0.673100
291,47.4,96.8,5046.3,6.9,Active,2,239194.62,0.2899,0.885950
292,87.7,96.0,648.5,6.8,Sedentary,1,56873.45,0.1471,0.909000
293,75.2,97.4,4831.2,4.9,Active,7,363306.24,1.4286,0.663350
294,91.6,98.2,843.2,6.5,Active,4,77237.12,0.6154,0.816550
295,87.6,99.2,1900.3,6.4,Sedentary,9,166466.28,1.4063,0.666800
296,57.3,98.8,1396.7,8.8,Highly_Active,8,80030.91,0.9091,0.785200
297,83.8,100.0,6084.9,4.4,Highly_Active,2,509914.62,0.4545,0.805000
298,80.4,97.8,12420.2,5.6,Active,9,998584.08,1.6071,0.631200
299,94.6,100.0,4710.3,0.0,Active,3,445594.38,NULL,0.610000
300,76.2,94.2,8122.8,7.2,Sedentary,2,618957.36,0.2778,0.886800
301,0.0,99.6,3762.4,7.2,Highly_Active,6,0.00,0.8333,0.788400
302,63.9,96.3,6895.0,6.2,Active,5,440590.50,0.8065,0.767700
303,83.0,94.4,8712.4,6.9,Sedentary,2,723129.20,0.2899,0.876350
304,53.9,96.1,4622.3,8.1,Active,7,249141.97,0.8642,0.778150
305,60.7,96.8,2447.0,6.7,Active,2,148532.90,0.2985,0.878450
306,70.8,97.9,4619.8,6.9,Active,10,327081.84,1.4493,0.650350
307,85.2,100.0,5364.2,3.4,Sedentary,5,457029.84,1.4706,0.677500
308,74.6,97.4,1312.6,6.9,Highly_Active,10,97919.96,1.4493,0.648350
309,80.1,100.0,7187.4,6.1,Sedentary,6,575710.74,0.9836,0.748750
310,83.3,97.3,12891.4,5.7,Highly_Active,7,1073853.62,1.2281,0.692950
311,91.4,100.0,1243.5,8.3,Active,7,113655.90,0.8434,0.801250
312,61.4,99.2,9061.9,5.2,Sedentary,1,556400.66,0.1923,0.861800
313,75.6,99.3,1205.2,4.7,Active,2,91113.12,0.4255,0.813450
314,90.0,96.4,22203.4,6.9,Highly_Active,8,1998306.00,1.1594,0.704350
315,51.2,97.2,19858.7,6.6,Active,1,1016765.44,0.1515,0.906300
316,92.6,95.9,6034.9,6.0,Sedentary,9,558831.74,1.5000,0.638600
317,83.6,99.1,5648.1,5.5,Highly_Active,9,472181.16,1.6364,0.632650
318,0.0,97.1,1994.4,7.9,Active,2,0.00,0.2532,0.924650
319,60.7,99.1,3427.4,7.1,Highly_Active,5,208043.18,0.7042,0.812650
320,96.6,95.6,5295.6,6.3,Active,9,511554.96,1.4286,0.648650
321,40.0,96.4,557.3,4.9,Highly_Active,8,22292.00,1.6327,0.629350
322,73.0,98.6,103.7,10.2,Active,6,7570.10,0.5882,0.896900
323,89.9,97.6,12858.1,7.2,Highly_Active,9,1155943.19,1.2500,0.690400
324,60.3,98.2,8355.3,6.2,Highly_Active,2,503824.59,0.3226,0.865300
325,73.9,95.4,1748.2,4.8,Active,1,129191.98,0.2083,0.831600
326,70.4,97.6,6785.2,5.2,Highly_Active,3,477678.08,0.5769,0.795400
327,78.6,99.7,11355.5,7.8,Highly_Active,1,892542.30,0.1282,0.961300
328,73.1,98.1,17094.6,7.3,Active,4,1249615.26,0.5479,0.846150
329,66.1,96.7,6694.6,6.5,Highly_Active,6,442513.06,0.9231,0.750550
330,85.1,98.7,7160.2,5.3,Active,2,609333.02,0.3774,0.833550
331,68.7,94.9,12395.1,6.2,Sedentary,7,851543.37,1.1290,0.702100
332,77.6,94.4,288.9,7.5,Active,9,22418.64,1.2000,0.688850
333,73.1,100.0,12282.1,5.2,Active,4,897821.51,0.7692,0.775000
334,71.5,100.0,13242.6,6.2,Active,8,946845.90,1.2903,0.692500
335,61.2,98.8,4104.7,7.6,Active,2,251207.64,0.2632,0.920200
336,76.1,99.5,1758.8,6.4,Highly_Active,9,133844.68,1.4063,0.668000
