user_id,heart_rate_BPM,blood_oxygen_level,step_count,sleep_duration_hr,activity_level,stress_level,health
124,92.5,100.0,1557.8,7.0,Sedentary,9,Moderate
125,65.2,97.6,2205.5,10.4,Highly_Active,4,Excellent
126,57.5,92.3,7163.5,6.5,Sedentary,9,Moderate
127,86.4,97.3,2491.3,6.7,Sedentary,6,Good
128,89.2,96.8,474.8,6.9,Sedentary,9,Moderate
129,52.3,99.2,10726.4,0.0,Sedentary,3,Moderate
130,77.6,93.0,20838.8,7.8,Active,7,Good
131,72.3,93.3,5450.3,3.9,Sedentary,9,Moderate
132,75.2,96.3,2472.9,5.0,Active,1,Good
133,84.6,96.3,2204.6,5.4,Active,5,Good
134,40.0,97.6,5583.6,6.7,Active,9,Moderate
135,66.5,99.1,1016.4,10.2,Sedentary,9,Good
136,57.7,95.0,807.4,6.2,Sedentary,3,Good
137,73.5,98.6,4637.2,9.8,Highly_Active,5,Excellent
138,62.9,96.7,9961.8,8.0,Sedentary,8,Good
139,78.8,93.5,8324.5,6.9,Sedentary,5,Good
140,104.2,98.1,74.1,7.6,Highly_Active,2,Excellent
141,81.0,97.6,3880.5,7.8,Active,2,Excellent
142,67.0,98.7,14168.6,0.0,Highly_Active,1,Moderate
143,82.0,98.1,4208.3,6.2,Sedentary,3,Good
144,71.6,97.2,1556.0,4.9,Active,7,Moderate
145,83.6,98.6,754.7,6.1,Active,9,Moderate
146,0.0,100.0,8686.1,7.6,Highly_Active,6,Good
147,90.4,98.4,655.9,4.4,Highly_Active,8,Moderate
148,66.9,98.6,3151.3,6.1,Highly_Active,6,Good
149,79.9,99.4,2805.7,6.9,Highly_Active,6,Good
150,82.0,94.8,592.8,5.9,Active,9,Moderate
151,58.2,100.0,2933.5,6.8,Active,2,Excellent
152,53.7,99.9,4111.6,5.9,Highly_Active,8,Moderate
153,77.2,98.9,2186.1,7.0,Sedentary,5,Good
154,88.8,97.4,4591.9,6.9,Active,7,Good
155,118.4,98.1,3011.0,8.1,Sedentary,6,Good
156,65.5,97.2,938.0,7.0,Highly_Active,4,Good
157,69.1,98.6,20122.7,6.6,Highly_Active,9,Moderate
158,76.7,94.3,674.4,7.1,Highly_Active,10,Moderate
159,110.0,98.9,5833.1,9.2,Sedentary,10,Good
160,69.1,97.1,986.1,6.1,Active,6,Good
161,63.0,97.0,7884.1,5.4,Highly_Active,3,Good
162,68.0,98.7,1411.0,5.2,Highly_Active,2,Good
163,106.4,99.0,5295.5,6.1,Highly_Active,8,Moderate
164,96.7,97.8,15380.9,7.0,Sedentary,5,Good
165,74.8,96.6,6787.8,7.7,Highly_Active,9,Good
166,0.0,97.3,15041.0,5.7,Active,1,Excellent
167,81.3,96.5,615.9,5.7,Sedentary,6,Good
168,95.6,98.2,8734.6,4.3,Sedentary,5,Good
169,80.2,99.9,2977.6,6.4,Active,1,Excellent
170,88.1,97.6,7174.6,8.4,Sedentary,5,Excellent
171,0.0,100.0,24183.5,9.5,Highly_Active,3,Excellent
172,89.0,94.0,5986.7,5.3,Sedentary,4,Good
173,96.4,100.0,15073.4,5.6,Active,4,Good
174,57.5,96.4,44.3,7.3,Highly_Active,1,Excellent
175,93.0,99.2,16312.7,8.1,Highly_Active,2,Excellent
176,64.3,97.4,2360.2,10.0,Active,4,Excellent
177,79.4,96.7,25080.8,6.7,Highly_Active,8,Moderate
178,82.3,99.7,12764.7,6.8,Active,7,Good
179,86.1,99.0,8023.7,7.4,Active,5,Good
180,57.8,96.5,10505.4,8.6,Highly_Active,3,Excellent
181,82.3,99.4,24864.0,10.3,Sedentary,9,Good
182,72.1,98.8,15272.3,8.7,Sedentary,6,Good
183,40.9,99.5,10526.3,6.1,Active,10,Moderate
184,67.0,97.8,14927.8,9.2,Sedentary,5,Excellent
185,54.2,98.9,4733.4,7.2,Active,7,Good
186,76.3,100.0,2966.5,6.9,Active,2,Excellent
187,79.4,98.6,1606.5,7.5,Sedentary,2,Excellent
188,69.3,97.6,57034.6,6.6,Sedentary,5,Good
189,55.2,96.1,9754.2,7.3,Sedentary,10,Moderate
190,81.2,97.8,7924.6,5.3,Active,2,Good
191,68.1,97.3,3315.2,5.7,Sedentary,2,Good
192,88.3,100.0,49119.4,8.6,Highly_Active,8,Good
193,96.4,97.8,3789.8,5.7,Sedentary,6,Good
194,48.7,99.0,1707.7,8.9,Sedentary,8,Good
195,62.0,95.0,720.1,8.5,Active,4,Excellent
196,93.4,93.6,7019.0,4.3,Active,5,Moderate
197,81.6,100.0,2090.5,8.7,Highly_Active,4,Excellent
198,66.0,99.3,78.6,2.8,Sedentary,4,Moderate
199,65.1,99.6,2721.3,6.9,Highly_Active,2,Excellent
200,63.1,97.0,3945.6,8.1,Active,1,Excellent
201,86.2,93.9,19416.1,5.5,Active,1,Excellent
202,78.5,94.1,1789.3,9.1,Sedentary,6,Good
203,79.7,94.8,3541.7,5.5,Highly_Active,9,Moderate
204,80.6,99.2,13796.1,6.7,Active,9,Moderate
205,72.3,92.6,158.5,9.0,Active,5,Excellent
206,74.2,98.3,19155.2,8.1,Active,10,Moderate
207,76.4,95.2,8395.4,5.6,Sedentary,1,Excellent
208,96.1,99.1,3718.3,9.7,Sedentary,8,Good
209,64.3,96.6,15763.1,7.4,Sedentary,10,Moderate
210,78.1,93.3,2480.6,6.9,Highly_Active,3,Good
211,69.4,97.4,11372.4,7.2,Sedentary,7,Good
212,81.3,99.2,6665.8,5.7,Highly_Active,8,Moderate
213,75.3,99.5,11220.2,7.0,Active,8,Good
214,100.2,99.0,3241.2,6.9,Highly_Active,4,Good
215,88.8,97.1,25587.2,6.2,Sedentary,9,Moderate
216,62.5,99.0,8280.5,2.6,Highly_Active,3,Good
217,91.0,97.0,7782.7,5.9,Sedentary,4,Good
218,68.4,98.2,8985.4,6.5,Highly_Active,6,Good
219,0.0,98.0,1085.3,5.1,Sedentary,7,Moderate
220,92.6,100.0,10916.7,6.9,Sedentary,8,Good
221,79.7,99.0,5148.4,8.7,Highly_Active,10,Good
222,77.0,98.9,13333.2,7.8,Sedentary,7,Good
223,104.4,97.8,1368.7,6.1,Sedentary,2,Excellent
224,74.4,99.3,2188.9,7.0,Highly_Active,9,Moderate
225,69.6,96.0,2007.0,8.9,Active,8,Good
226,71.1,96.9,344.3,7.3,Active,4,Good
227,72.8,98.2,2195.3,6.7,Active,3,Excellent
228,98.6,99.6,32.6,7.5,Active,7,Good
229,101.6,95.2,2185.9,8.2,Active,4,Excellent
230,72.9,100.0,6309.8,5.5,Highly_Active,2,Good
231,78.4,96.3,7440.6,5.7,Active,6,Good
232,91.4,96.7,686.5,6.5,Highly_Active,4,Good
233,55.5,99.5,26255.1,7.0,Active,9,Moderate
234,92.8,96.5,5196.4,8.9,Highly_Active,5,Excellent
235,84.4,99.9,5775.5,4.8,Sedentary,3,Good
236,71.2,98.9,1102.1,7.8,Highly_Active,6,Good
237,71.8,96.3,281.2,4.9,Highly_Active,4,Good
238,40.1,97.7,19458.1,8.7,Sedentary,1,Excellent
239,82.3,96.0,1297.4,8.9,Active,7,Good
240,73.8,98.4,11236.2,7.9,Active,2,Excellent
241,99.2,96.4,3057.5,5.4,Active,5,Good
242,72.6,100.0,22560.1,0.0,Sedentary,10,Poor
243,92.2,100.0,913.8,4.4,Sedentary,3,Good
244,79.5,98.1,563.4,7.1,Highly_Active,7,Good
245,95.1,95.7,4831.6,6.5,Active,8,Moderate
246,83.8,99.8,2580.6,8.6,Active,5,Excellent
247,63.5,98.2,28925.9,0.0,Highly_Active,4,Moderate
248,97.6,98.9,4270.0,5.6,Sedentary,7,Moderate
249,79.6,95.6,2808.7,6.7,Active,10,Moderate
250,56.5,96.5,10743.1,7.0,Sedentary,1,Excellent
251,68.3,99.6,2868.7,3.1,Sedentary,4,Moderate
252,69.7,98.2,8858.8,3.8,Active,5,Moderate
253,72.3,95.1,6801.6,6.4,Active,4,Good
254,0.0,100.0,12925.8,6.0,Sedentary,2,Excellent
255,67.5,100.0,5141.1,8.4,Sedentary,10,Good
256,73.5,100.0,2078.4,7.1,Sedentary,9,Moderate
257,71.2,99.1,3072.8,4.6,Sedentary,9,Moderate
258,112.1,95.3,14.5,7.5,Highly_Active,7,Good
259,76.3,95.9,9202.6,5.7,Highly_Active,8,Moderate
260,57.3,95.6,2634.9,6.2,Highly_Active,4,Good
261,67.4,98.8,2256.8,7.4,Highly_Active,8,Good
262,80.3,98.8,8548.7,5.9,Sedentary,9,Moderate
263,78.4,100.0,2522.7,0.0,Sedentary,1,Moderate
264,87.3,96.8,18148.3,3.9,Sedentary,3,Good
265,84.4,97.8,5514.3,3.2,Sedentary,2,Good
266,82.2,99.4,15404.8,0.0,Active,7,Poor
267,80.6,95.1,9385.3,5.9,Highly_Active,5,Good
268,73.6,99.8,3213.6,5.8,Sedentary,8,Moderate
269,81.9,100.0,605.0,5.0,Sedentary,9,Moderate
270,96.1,100.0,361.7,5.4,Active,4,Good
271,56.1,99.4,5392.9,7.4,Sedentary,2,Excellent
272,75.5,100.0,2121.9,4.9,Sedentary,10,Moderate
273,67.5,98.7,7763.5,5.1,Active,4,Good
274,45.0,97.0,11917.3,5.8,Active,5,Good
275,82.9,97.5,13746.5,5.3,Highly_Active,8,Moderate
276,71.3,98.4,4156.7,6.7,Highly_Active,2,Excellent
277,76.9,97.3,164.7,8.2,Active,2,Excellent
278,87.2,98.6,5310.0,8.9,Sedentary,7,Good
279,95.5,95.5,84.6,5.4,Active,8,Moderate
280,82.6,95.2,12925.2,7.5,Highly_Active,10,Moderate
281,61.5,95.2,13702.9,7.3,Highly_Active,6,Good
282,93.4,100.0,1682.4,6.6,Sedentary,5,Good
283,90.2,97.9,5817.0,9.5,Sedentary,8,Good
284,75.6,97.1,7388.0,5.5,Active,7,Moderate
285,45.9,95.5,8542.2,9.2,Active,5,Excellent
286,62.4,100.0,596.6,8.0,Highly_Active,6,Good
287,83.2,93.6,1968.2,9.9,Sedentary,2,Excellent
288,74.8,94.6,7985.5,4.8,Sedentary,4,Good
289,58.2,96.8,8362.6,6.1,Highly_Active,1,Excellent
290,44.5,98.9,24266.2,5.8,Highly_Active,8,Moderate
291,47.4,96.8,5046.3,6.9,Active,2,Excellent
292,87.7,96.0,648.5,6.8,Sedentary,1,Excellent
293,75.2,97.4,4831.2,4.9,Active,7,Moderate
294,91.6,98.2,843.2,6.5,Active,4,Good
295,87.6,99.2,1900.3,6.4,Sedentary,9,Moderate
296,57.3,98.8,1396.7,8.8,Highly_Active,8,Good
297,83.8,100.0,6084.9,4.4,Highly_Active,2,Good
298,80.4,97.8,12420.2,5.6,Active,9,Moderate
299,94.6,100.0,4710.3,0.0,Active,3,Moderate
300,76.2,94.2,8122.8,7.2,Sedentary,2,Excellent
301,0.0,99.6,3762.4,7.2,Highly_Active,6,Good
302,63.9,96.3,6895.0,6.2,Active,5,Good
303,83.0,94.4,8712.4,6.9,Sedentary,2,Excellent
304,53.9,96.1,4622.3,8.1,Active,7,Good
305,60.7,96.8,2447.0,6.7,Active,2,Excellent
306,70.8,97.9,4619.8,6.9,Active,10,Moderate
307,85.2,100.0,5364.2,3.4,Sedentary,5,Moderate
308,74.6,97.4,1312.6,6.9,Highly_Active,10,Moderate
309,80.1,100.0,7187.4,6.1,Sedentary,6,Good
310,83.3,97.3,12891.4,5.7,Highly_Active,7,Moderate
311,91.4,100.0,1243.5,8.3,Active,7,Good
312,61.4,99.2,9061.9,5.2,Sedentary,1,Excellent
313,75.6,99.3,1205.2,4.7,Active,2,Good
314,90.0,96.4,22203.4,6.9,Highly_Active,8,Good
315,51.2,97.2,19858.7,6.6,Active,1,Excellent
316,92.6,95.9,6034.9,6.0,Sedentary,9,Moderate
317,83.6,99.1,5648.1,5.5,Highly_Active,9,Moderate
318,0.0,97.1,1994.4,7.9,Active,2,Excellent
319,60.7,99.1,3427.4,7.1,Highly_Active,5,Good
320,96.6,95.6,5295.6,6.3,Active,9,Moderate
321,40.0,96.4,557.3,4.9,Highly_Active,8,Moderate
322,73.0,98.6,103.7,10.2,Active,6,Excellent
323,89.9,97.6,12858.1,7.2,Highly_Active,9,Moderate
324,60.3,98.2,8355.3,6.2,Highly_Active,2,Excellent
325,73.9,95.4,1748.2,4.8,Active,1,Good
326,70.4,97.6,6785.2,5.2,Highly_Active,3,Good
327,78.6,99.7,11355.5,7.8,Highly_Active,1,Excellent
328,73.1,98.1,17094.6,7.3,Active,4,Good
329,66.1,96.7,6694.6,6.5,Highly_Active,6,Good
330,85.1,98.7,7160.2,5.3,Active,2,Good
331,68.7,94.9,12395.1,6.2,Sedentary,7,Good
332,77.6,94.4,288.9,7.5,Active,9,Moderate
333,73.1,100.0,12282.1,5.2,Active,4,Good
334,71.5,100.0,13242.6,6.2,Active,8,Moderate
335,61.2,98.8,4104.7,7.6,Active,2,Excellent
336,76.1,99.5,1758.8,6.4,Highly_Active,9,Moderate
337,81.5,100.0,1681.0,5.5,Sedentary,2,Good
338,76.0,99.9,6518.0,7.2,Active,4,Good
339,74.8,96.9,5360.7,5.3,Active,4,Good
340,106.0,96.5,7922.4,6.8,Active,9,Moderate
341,89.4,91.5,2790.9,5.6,Sedentary,8,Moderate
342,81.3,95.3,9126.2,6.5,Sedentary,3,Good
343,97.9,96.5,7695.9,7.6,Sedentary,5,Good
344,70.7,97.1,125.4,3.2,Highly_Active,1,Good
345,95.7,100.0,3750.4,8.0,Highly_Active,5,Excellent
346,64.3,99.7,10772.1,8.0,Highly_Active,2,Excellent
347,84.0,99.0,8185.1,5.6,Active,1,Excellent
348,83.3,98.4,992.8,0.0,Active,9,Poor
349,71.7,96.4,28224.6,5.9,Sedentary,6,Good
350,60.7,97.1,1070.2,7.4,Sedentary,10,Moderate
351,78.0,96.4,18496.7,9.5,Active,4,Excellent
352,80.1,97.2,14566.8,7.3,Highly_Active,1,Excellent
353,72.5,95.8,7393.9,5.7,Highly_Active,7,Moderate
354,62.2,99.1,4856.9,5.9,Active,1,Excellent
355,71.8,99.3,2874.2,5.4,Highly_Active,8,Moderate
356,90.2,98.2,5878.4,7.3,Active,2,Excellent
357,72.4,99.1,3204.1,4.9,Highly_Active,10,Moderate
358,92.2,95.4,9632.6,6.5,Highly_Active,2,Excellent
359,76.3,96.9,5283.5,6.7,Highly_Active,6,Good
360,101.5,98.0,15874.4,8.0,Highly_Active,1,Excellent
361,63.4,100.0,766.4,6.4,Sedentary,8,Good
362,74.4,100.0,2250.9,0.0,Highly_Active,3,Moderate
363,79.7,99.9,3502.2,7.6,Highly_Active,6,Good
364,117.7,99.3,10506.8,6.2,Highly_Active,9,Moderate
365,90.0,96.6,23615.1,7.1,Active,6,Good
366,85.3,100.0,216.9,6.3,Active,7,Good
367,81.1,97.1,7299.0,8.0,Active,5,Good
368,82.4,97.0,15448.1,4.5,Sedentary,6,Moderate
369,51.7,100.0,4816.3,6.9,Highly_Active,2,Excellent
370,76.0,96.3,4226.4,7.9,Highly_Active,10,Moderate
371,74.7,97.7,29377.1,5.7,Sedentary,6,Good
372,74.8,98.5,990.2,9.3,Active,8,Good
373,61.9,100.0,5718.1,8.5,Active,2,Excellent
374,47.9,97.2,8847.7,6.6,Sedentary,9,Moderate
375,98.0,95.9,1647.4,4.9,Sedentary,6,Moderate
376,95.9,97.2,7978.6,6.6,Highly_Active,7,Good
377,83.3,97.4,1932.5,7.8,Active,6,Good
378,40.8,97.1,6946.1,6.7,Active,8,Moderate
379,80.0,98.1,940.4,5.7,Sedentary,6,Good
380,68.5,98.6,9529.0,6.4,Sedentary,6,Good
381,84.5,100.0,3459.2,8.9,Highly_Active,6,Excellent
382,207.1,99.7,2867.9,7.2,Active,7,Good
383,78.7,100.0,11806.6,6.3,Sedentary,4,Good
384,71.8,96.8,23224.4,7.6,Highly_Active,6,Good
385,0.0,99.8,2945.9,7.1,Sedentary,8,Good
386,76.2,97.8,8671.9,7.6,Active,9,Good
387,77.7,100.0,396.2,8.7,Highly_Active,6,Good
388,78.1,96.0,1959.2,0.0,Active,1,Moderate
389,96.0,98.3,522.3,6.0,Highly_Active,6,Good
390,81.5,99.7,25869.5,5.7,Active,6,Good
391,82.3,99.5,2531.9,9.1,Highly_Active,2,Excellent
392,68.4,97.8,7786.9,4.7,Sedentary,4,Good
393,94.1,98.2,5236.4,8.1,Highly_Active,3,Excellent
394,74.4,96.0,1617.7,7.6,Sedentary,6,Good
395,0.0,99.3,13778.4,6.5,Sedentary,9,Moderate
396,62.4,98.5,1447.8,6.3,Highly_Active,3,Good
397,72.9,96.7,4472.5,6.9,Active,6,Good
398,80.7,96.8,3606.2,9.2,Sedentary,7,Good
399,88.1,100.0,1076.8,4.9,Sedentary,8,Moderate
400,91.7,96.8,1086.3,6.3,Sedentary,2,Excellent
401,55.7,97.5,5656.9,4.8,Highly_Active,7,Moderate
402,75.8,98.6,339.4,6.3,Highly_Active,8,Moderate
403,44.9,96.5,35830.9,8.8,Active,9,Good
404,78.0,100.0,17060.1,5.6,Sedentary,2,Excellent
405,76.9,96.9,9069.5,6.2,Sedentary,10,Moderate
406,78.5,98.7,3893.4,3.6,Sedentary,1,Good
407,58.1,100.0,13270.7,4.1,Highly_Active,6,Moderate
408,87.3,99.4,1176.6,4.9,Highly_Active,1,Excellent
409,64.6,96.8,2774.1,5.9,Sedentary,2,Good
410,59.6,96.3,3708.9,6.1,Highly_Active,9,Moderate
411,88.3,95.6,1906.2,5.7,Highly_Active,2,Good
412,44.4,97.4,4401.2,5.3,Sedentary,5,Good
413,122.7,100.0,9462.5,4.0,Highly_Active,2,Good
414,112.8,97.7,13109.4,5.5,Sedentary,10,Moderate
415,65.1,99.8,9503.3,4.9,Highly_Active,4,Good
416,62.2,96.4,9130.0,7.8,Sedentary,8,Good
417,67.6,94.9,1332.4,4.3,Sedentary,9,Moderate
418,80.3,93.2,10124.3,5.5,Highly_Active,10,Moderate
419,84.4,99.9,5039.5,9.3,Sedentary,3,Excellent
420,0.0,97.7,6056.4,6.7,Highly_Active,4,Good
421,89.9,98.0,10517.9,6.5,Active,5,Good
422,101.7,99.1,2257.5,6.5,Active,10,Moderate
423,98.4,98.2,16314.2,6.9,Highly_Active,6,Good
424,97.0,99.0,3940.0,6.4,Active,4,Good
425,55.1,96.3,709.4,5.3,Highly_Active,7,Moderate
426,70.9,99.4,131.8,6.0,Sedentary,4,Good
427,77.1,97.6,23324.8,5.8,Sedentary,7,Moderate
428,67.0,97.5,14867.0,8.8,Active,5,Excellent
429,66.7,95.5,6051.7,7.6,Active,9,Moderate
430,86.1,100.0,2192.2,4.9,Highly_Active,3,Good
431,83.3,97.5,4044.9,8.1,Highly_Active,1,Excellent
432,82.7,99.7,9018.3,6.5,Active,9,Moderate
433,0.0,96.0,7015.4,6.9,Highly_Active,7,Good
434,92.1,96.6,21261.4,6.9,Highly_Active,4,Good
435,55.3,95.6,8809.9,5.7,Sedentary,6,Good
436,77.8,95.7,358.2,5.4,Active,5,Good
437,65.5,99.8,12766.6,6.1,Sedentary,2,Excellent
438,74.1,97.8,4904.7,3.8,Sedentary,1,Good
439,54.9,98.8,8196.1,6.2,Highly_Active,4,Good
440,62.7,96.8,20737.7,0.0,Highly_Active,10,Poor
441,40.0,92.1,5534.2,3.3,Active,3,Good
442,80.3,94.9,6740.9,5.3,Sedentary,4,Good
443,52.4,97.6,40862.3,7.2,Sedentary,8,Good
444,0.0,97.2,3489.4,8.2,Sedentary,10,Moderate
445,70.7,97.7,18713.5,3.5,Sedentary,4,Good
446,87.7,96.2,5758.7,7.4,Highly_Active,5,Good
447,62.8,99.4,22404.3,3.6,Active,1,Good
448,83.3,94.3,1869.9,5.8,Active,10,Moderate
449,58.8,99.4,4815.7,6.2,Highly_Active,10,Moderate
450,68.0,97.6,8739.4,5.7,Active,10,Moderate
451,55.0,98.7,1710.1,5.7,Sedentary,8,Moderate
452,81.1,95.8,32.1,3.9,Active,5,Moderate
453,68.1,98.9,1729.0,9.0,Active,8,Good
454,92.4,96.4,1415.2,7.7,Sedentary,7,Good
455,92.6,97.0,12902.9,4.6,Highly_Active,3,Good
456,85.0,94.2,5205.2,6.4,Highly_Active,6,Good
457,40.0,97.3,3443.9,8.0,Sedentary,5,Good
458,68.4,100.0,3485.0,6.9,Highly_Active,9,Moderate
459,93.8,96.5,9922.2,5.2,Highly_Active,2,Good
460,68.7,98.4,429.9,7.7,Sedentary,8,Good
